,0,1,2
458,OR,2000,64.3
459,OR,1990,63.1
460,OR,1980,65.1
461,OR,1970,66.1
462,OR,1960,69.3
463,OR,1950,65.3
464,OR,1940,55.4
465,OR,1930,59.1
466,OR,1920,54.8
467,OR,1910,60.1
468,OR,1900,58.7
469,PA,2010,69.6
470,PA,2000,71.3
471,PA,1990,70.6
472,PA,1980,69.9
473,PA,1970,68.8
474,PA,1960,68.3
475,PA,1950,59.7
476,PA,1940,45.9
477,PA,1930,54.4
478,PA,1920,45.2
479,PA,1910,41.6
480,PA,1900,41.2
481,RI,2010,60.7
482,RI,2000,60.0
483,RI,1990,59.5
484,RI,1980,58.8
485,RI,1970,57.9
486,RI,1960,54.5
487,RI,1950,45.3
488,RI,1940,37.4
489,RI,1930,41.2
490,RI,1920,31.1
491,RI,1910,28.3
492,RI,1900,28.6
493,SC,2010,69.3
494,SC,2000,72.2
495,SC,1990,69.8
496,SC,1980,70.2
497,SC,1970,66.1
498,SC,1960,57.3
499,SC,1950,45.1
500,SC,1940,30.6
501,SC,1930,30.9
502,SC,1920,32.2
503,SC,1910,30.8
504,SC,1900,30.6
505,SD,2010,68.1
506,SD,2000,68.2
507,SD,1990,66.1
508,SD,1980,69.3
509,SD,1970,69.6
510,SD,1960,67.2
511,SD,1950,62.2
512,SD,1940,45.0
513,SD,1930,53.1
514,SD,1920,61.5
515,SD,1910,68.2
516,SD,1900,71.2
517,TN,2010,68.2
518,TN,2000,69.9
519,TN,1990,68.0
520,TN,1980,68.6
521,TN,1970,66.7
522,TN,1960,63.7
523,TN,1950,56.5
524,TN,1940,44.1
525,TN,1930,46.2
526,TN,1920,47.7
527,TN,1910,47.0
528,TN,1900,46.3
529,TX,2010,63.7
530,TX,2000,63.8
531,TX,1990,60.9
532,TX,1980,64.3
533,TX,1970,64.7
534,TX,1960,64.8
535,TX,1950,56.7
536,TX,1940,42.8
537,TX,1930,41.7
538,TX,1920,42.8
539,TX,1910,45.1
540,TX,1900,46.5
541,UT,2010,70.4
542,UT,2000,71.5
543,UT,1990,68.1
544,UT,1980,70.7
545,UT,1970,69.3
546,UT,1960,71.7
547,UT,1950,65.3
548,UT,1940,61.1
549,UT,1930,60.9
550,UT,1920,60.0
551,UT,1910,64.8
552,UT,1900,67.8
553,VT,2010,70.7
554,VT,2000,70.6
555,VT,1990,69.0
556,VT,1980,68.7
557,VT,1970,69.1
558,VT,1960,66.0
559,VT,1950,61.3
560,VT,1940,55.9
561,VT,1930,59.8
562,VT,1920,57.5
563,VT,1910,58.5
564,VT,1900,60.4
565,VA,2010,67.2
566,VA,2000,68.1
567,VA,1990,66.3
568,VA,1980,65.6
569,VA,1970,62.0
570,VA,1960,61.3
571,VA,1950,55.1
572,VA,1940,48.9
573,VA,1930,52.4
574,VA,1920,51.1
575,VA,1910,51.5
576,VA,1900,48.8
577,WA,2010,63.9
578,WA,2000,64.6
579,WA,1990,62.6
580,WA,1980,65.6
581,WA,1970,66.8
582,WA,1960,68.5
583,WA,1950,65.0
584,WA,1940,57.0
585,WA,1930,59.4
586,WA,1920,54.7
587,WA,1910,57.3
588,WA,1900,54.5
589,WV,2010,73.4
590,WV,2000,75.2
591,WV,1990,74.1
592,WV,1980,73.6
593,WV,1970,68.9
594,WV,1960,64.3
595,WV,1950,55.0
596,WV,1940,43.7
597,WV,1930,45.9
598,WV,1920,46.8
599,WV,1910,49.5
600,WV,1900,54.6
601,WI,2010,68.1
602,WI,2000,68.4
603,WI,1990,66.7
604,WI,1980,68.2
605,WI,1970,69.1
606,WI,1960,68.6
607,WI,1950,63.5
608,WI,1940,54.4
609,WI,1930,63.2
610,WI,1920,63.6
611,WI,1910,64.6
612,WI,1900,66.4
613,WY,2010,69.2
614,WY,2000,70.0
615,WY,1990,67.8
616,WY,1980,69.2
617,WY,1970,66.4
618,WY,1960,62.2
619,WY,1950,54.0
620,WY,1940,48.6
621,WY,1930,48.3
622,WY,1920,51.9
623,WY,1910,54.5
624,WY,1900,55.2
